ymdhm,wl_1018662,wl_1018680,wl_1018683,wl_1019630
2022-06-01 00:00,1.04,2.83,0.67,1.89
2022-06-01 00:10,1.06,2.84,0.67,1.87
2022-06-01 00:20,1.06,2.84,0.67,1.87
2022-06-01 00:30,1.09,2.84,0.67,1.84
2022-06-01 00:40,1.09,2.85,0.67,1.79
2022-06-01 00:50,1.09,2.86,0.67,1.78
2022-06-01 01:00,1.09,2.86,0.67,1.78
2022-06-01 01:10,1.07,2.85,0.67,1.78
2022-06-01 01:20,1.07,2.85,0.67,1.78
2022-06-01 01:30,1.05,2.82,0.65,1.79
2022-06-01 01:40,1.03,2.81,0.64,1.81
2022-06-01 01:50,1.01,2.81,0.64,1.82
2022-06-01 02:00,1.0,2.8,0.63,1.82
2022-06-01 02:10,0.99,2.8,0.63,1.82
2022-06-01 02:20,1.0,2.79,0.62,1.82
2022-06-01 02:30,1.0,2.79,0.62,1.82
2022-06-01 02:40,1.0,2.79,0.62,1.81
2022-06-01 02:50,1.0,2.79,0.62,1.8
2022-06-01 03:00,1.01,2.79,0.61,1.79
2022-06-01 03:10,1.01,2.79,0.61,1.78
2022-06-01 03:20,1.01,2.79,0.61,1.78
2022-06-01 03:30,1.02,2.79,0.61,1.76
2022-06-01 03:40,1.01,2.79,0.61,1.74
2022-06-01 03:50,1.0,2.79,0.61,1.74
2022-06-01 04:00,0.99,2.79,0.61,1.74
2022-06-01 04:10,0.98,2.78,0.6,1.74
2022-06-01 04:20,0.98,2.77,0.59,1.75
2022-06-01 04:30,0.99,2.77,0.59,1.76
2022-06-01 04:40,0.98,2.77,0.59,1.77
2022-06-01 04:50,0.97,2.77,0.59,1.77
2022-06-01 05:00,0.96,2.77,0.58,1.76
2022-06-01 05:10,0.96,2.77,0.58,1.75
2022-06-01 05:20,0.96,2.77,0.58,1.75
2022-06-01 05:30,0.95,2.77,0.58,1.74
2022-06-01 05:40,0.95,2.77,0.57,1.74
2022-06-01 05:50,0.96,2.77,0.56,1.74
2022-06-01 06:00,0.96,2.77,0.56,1.74
2022-06-01 06:10,0.95,2.77,0.56,1.73
2022-06-01 06:20,0.95,2.77,0.56,1.73
2022-06-01 06:30,0.98,2.77,0.55,1.73
2022-06-01 06:40,0.99,2.77,0.56,1.72
2022-06-01 06:50,1.0,2.77,0.57,1.72
2022-06-01 07:00,1.0,2.77,0.57,1.72
2022-06-01 07:10,1.01,2.77,0.58,1.72
2022-06-01 07:20,1.0,2.77,0.58,1.72
2022-06-01 07:30,0.99,2.77,0.58,1.73
